demand,date,MW_Prediction
27912,2021-08-01 16:15:40,27820.5
28020,2021-08-01 16:20:39,27820.5
28069,2021-08-01 16:25:38,27820.5
28260,2021-08-01 16:30:39,27820.5
28310,2021-08-01 16:35:36,27820.5
28336,2021-08-01 16:40:37,27820.5
28277,2021-08-01 16:45:37,27820.5
28256,2021-08-01 16:50:37,27820.5
28301,2021-08-01 16:55:36,27820.5
28406,2021-08-01 17:00:37,28683.04
28413,2021-08-01 17:05:36,28683.04
28464,2021-08-01 17:10:37,28683.04
28580,2021-08-01 17:15:36,28683.04
28618,2021-08-01 17:20:36,28683.04
28697,2021-08-01 17:25:36,28683.04
28696,2021-08-01 17:30:36,28683.04
28619,2021-08-01 17:35:37,28683.04
28625,2021-08-01 17:40:38,28683.04
28589,2021-08-01 17:45:36,28683.04
28494,2021-08-01 17:50:36,28683.04
28497,2021-08-01 17:55:36,28683.04
28403,2021-08-01 18:00:37,28683.04
28348,2021-08-01 18:05:37,28683.04
28347,2021-08-01 18:10:37,28683.04
28211,2021-08-01 18:15:36,28683.04
28182,2021-08-01 18:20:36,28683.04
28235,2021-08-01 18:25:36,28683.04
28238,2021-08-01 18:30:36,28683.04
28225,2021-08-01 18:35:37,28683.04
28258,2021-08-01 18:40:38,28683.04
28202,2021-08-01 18:45:38,28683.04
28188,2021-08-01 18:50:38,28683.04
28163,2021-08-01 18:55:36,28683.04
28095,2021-08-01 19:00:37,28683.04
28072,2021-08-01 19:05:36,28683.04
28066,2021-08-01 19:10:40,28683.04
28064,2021-08-01 19:15:35,28683.04
27993,2021-08-01 19:20:36,28683.04
27921,2021-08-01 19:25:36,28683.04
27912,2021-08-01 19:30:38,28683.04
27839,2021-08-01 19:35:37,28683.04
27829,2021-08-01 19:40:37,28683.04
27824,2021-08-01 19:45:36,28683.04
27787,2021-08-01 19:50:36,28683.04
27807,2021-08-01 19:55:37,28683.04
27762,2021-08-01 20:00:40,27471.03
27799,2021-08-01 20:05:37,27471.03
27909,2021-08-01 20:10:38,27471.03
27943,2021-08-01 20:15:37,27471.03
28029,2021-08-01 20:20:36,27471.03
28017,2021-08-01 20:25:37,27471.03
27737,2021-08-01 20:30:36,27471.03
27574,2021-08-01 20:35:36,27471.03
27462,2021-08-01 20:40:42,27471.03
27341,2021-08-01 20:45:36,27471.03
27131,2021-08-01 20:50:37,27471.03
27026,2021-08-01 20:55:37,27471.03
26931,2021-08-01 21:00:37,25863.822
26864,2021-08-01 21:05:36,25863.822
26866,2021-08-01 21:10:38,25863.822
26695,2021-08-01 21:15:37,25863.822
26532,2021-08-01 21:20:37,25863.822
26321,2021-08-01 21:25:36,25863.822
26224,2021-08-01 21:30:38,25863.822
26006,2021-08-01 21:35:35,25863.822
25793,2021-08-01 21:40:38,25863.822
25589,2021-08-01 21:45:40,25863.822
25405,2021-08-01 21:50:35,25863.822
25164,2021-08-01 21:55:37,25863.822
24972,2021-08-01 22:00:42,23703.201
24724,2021-08-01 22:05:36,23703.201
24390,2021-08-01 22:10:37,23703.201
24132,2021-08-01 22:15:38,23703.201
23887,2021-08-01 22:20:40,23703.201
23691,2021-08-01 22:25:35,23703.201
23510,2021-08-01 22:30:36,23703.201
23315,2021-08-01 22:35:36,23703.201
23045,2021-08-01 22:40:37,23703.201
22952,2021-08-01 22:45:37,23703.201
22764,2021-08-01 22:50:36,23703.201
22628,2021-08-01 22:55:36,23703.201
