volume,date,MW_Prediction
872241.0,2019-12-03,779683.94
869176.0,2019-12-04,779683.94
841505.0,2019-12-05,779683.94
786835.0,2019-12-06,776599.3
713851.0,2019-12-07,718566.0
662697.0,2019-12-08,717893.94
809238.0,2019-12-09,779683.94
825585.0,2019-12-10,779683.94
845921.0,2019-12-11,779683.94
879335.0,2019-12-12,779683.94
830087.0,2019-12-13,776599.3
733251.0,2019-12-14,718566.0
740290.0,2019-12-15,717893.94
855135.0,2019-12-16,779683.94
889217.0,2019-12-17,779683.94
863253.0,2019-12-18,779683.94
809905.0,2019-12-19,779683.94
811493.0,2019-12-20,776599.3
745594.0,2019-12-21,718566.0
723522.0,2019-12-22,696472.5
744340.0,2019-12-23,740739.06
724290.0,2019-12-24,717255.56
660628.0,2019-12-25,717255.56
658089.0,2019-12-26,717255.56
728337.0,2019-12-27,721037.6
686788.0,2019-12-28,667341.94
661811.0,2019-12-29,666669.9
721413.0,2019-12-30,674716.44
742765.0,2019-12-31,674716.44
692762.0,2020-01-01,725277.5
739368.0,2020-01-02,781942.0
763414.0,2020-01-03,818234.06
711552.0,2020-01-04,751852.56
702943.0,2020-01-05,749857.5
783669.0,2020-01-06,818234.06
781636.0,2020-01-07,818234.06
804374.0,2020-01-08,818234.06
814856.0,2020-01-09,818234.06
806082.0,2020-01-10,818234.06
685344.0,2020-01-11,751852.56
700590.0,2020-01-12,749857.5
789119.0,2020-01-13,818234.06
796501.0,2020-01-14,818234.06
786578.0,2020-01-15,818234.06
792408.0,2020-01-16,818234.06
812024.0,2020-01-17,818234.06
755290.0,2020-01-18,751852.56
772212.0,2020-01-19,749857.5
861533.0,2020-01-20,818234.06
876145.0,2020-01-21,818234.06
874738.0,2020-01-22,818234.06
869252.0,2020-01-23,818234.06
856672.0,2020-01-24,818234.06
765132.0,2020-01-25,751852.56
724627.0,2020-01-26,749857.5
822663.0,2020-01-27,818234.06
826387.0,2020-01-28,818234.06
805150.0,2020-01-29,818234.06
796737.0,2020-01-30,818234.06
756336.0,2020-01-31,818234.06
654053.0,2020-02-01,751852.56
694917.0,2020-02-02,749857.5
752924.0,2020-02-03,818234.06
801872.0,2020-02-04,818234.06
851550.0,2020-02-05,818234.06
851723.0,2020-02-06,818234.06
796930.0,2020-02-07,818234.06
665056.0,2020-02-08,751852.56
683551.0,2020-02-09,749857.5
777792.0,2020-02-10,818234.06
791815.0,2020-02-11,818234.06
811697.0,2020-02-12,818234.06
834448.0,2020-02-13,818234.06
803869.0,2020-02-14,818234.06
701296.0,2020-02-15,739422.25
664755.0,2020-02-16,735735.6
755094.0,2020-02-17,811492.94
780673.0,2020-02-18,811492.94
812381.0,2020-02-19,811492.94
780364.0,2020-02-20,811492.94
765767.0,2020-02-21,811492.94
662849.0,2020-02-22,739422.25
681247.0,2020-02-23,735735.6
796626.0,2020-02-24,811492.94
808546.0,2020-02-25,811492.94
818291.0,2020-02-26,811492.94
822686.0,2020-02-27,811492.94
838491.0,2020-02-28,811492.94
675016.0,2020-02-29,739422.25
662144.0,2020-03-01,735735.6
798546.0,2020-03-02,806486.56
819968.0,2020-03-03,806486.56
860180.0,2020-03-04,806486.56
871550.0,2020-03-05,806486.56
816782.0,2020-03-06,800107.3
693773.0,2020-03-07,718034.25
637031.0,2020-03-08,707063.7
766085.0,2020-03-09,771691.25
737097.0,2020-03-10,764215.0
721832.0,2020-03-11,764215.0
719982.0,2020-03-12,764215.0
778354.0,2020-03-13,764215.0
681630.0,2020-03-14,686878.2
658146.0,2020-03-15,683191.56
737439.0,2020-03-16,764215.0
732195.0,2020-03-17,764215.0
773170.0,2020-03-18,764215.0
796580.0,2020-03-19,764215.0
