price,date,MW_Prediction
118.2,2021-08-05 22:30:00,88.405815
118.2,2021-08-05 23:00:00,80.738014
120.0,2021-08-05 23:30:00,80.738014
124.5,2021-08-06 00:00:00,81.93741
130.5,2021-08-06 00:30:00,81.93741
124.5,2021-08-06 01:00:00,80.68292
124.5,2021-08-06 01:30:00,80.68292
122.0,2021-08-06 02:00:00,78.04288
122.0,2021-08-06 02:30:00,78.04288
122.0,2021-08-06 03:00:00,77.9076
122.0,2021-08-06 03:30:00,77.9076
124.5,2021-08-06 04:00:00,77.9076
124.5,2021-08-06 04:30:00,77.9076
132.5,2021-08-06 05:00:00,86.15879
124.5,2021-08-06 05:30:00,86.15879
48.5,2021-08-06 06:00:00,88.91787
49.0,2021-08-06 06:30:00,88.91787
127.0,2021-08-06 07:00:00,95.25568
127.0,2021-08-06 07:30:00,95.25568
127.0,2021-08-06 08:00:00,95.52273
127.0,2021-08-06 08:30:00,95.52273
127.0,2021-08-06 09:00:00,95.406136
127.0,2021-08-06 09:30:00,95.406136
124.9,2021-08-06 10:00:00,94.40146
48.1,2021-08-06 10:30:00,94.40146
123.0,2021-08-06 11:00:00,93.49708
123.0,2021-08-06 11:30:00,93.49708
122.75,2021-08-06 12:00:00,91.54711
48.25,2021-08-06 12:30:00,91.54711
44.73,2021-08-06 13:00:00,89.15819
120.0,2021-08-06 13:30:00,89.15819
122.0,2021-08-06 14:00:00,88.447716
40.57,2021-08-06 14:30:00,88.447716
50.01,2021-08-06 15:00:00,91.24465
122.0,2021-08-06 15:30:00,91.24465
51.01,2021-08-06 16:00:00,104.695244
122.0,2021-08-06 16:30:00,104.695244
122.9,2021-08-06 17:00:00,115.73592
133.84993,2021-08-06 17:30:00,115.73592
133.84994,2021-08-06 18:00:00,114.99087
133.85,2021-08-06 18:30:00,114.99087
133.85,2021-08-06 19:00:00,112.63795
122.9,2021-08-06 19:30:00,112.63795
123.00052,2021-08-06 20:00:00,96.89022
130.0,2021-08-06 20:30:00,96.89022
58.02,2021-08-06 21:00:00,90.07711
57.53,2021-08-06 21:30:00,90.07711
125.0,2021-08-06 22:00:00,88.46377
50.31,2021-08-06 22:30:00,88.46377
45.73,2021-08-06 23:00:00,80.79597
45.42,2021-08-06 23:30:00,80.79597
43.59,2021-08-07 00:00:00,86.06595
43.59,2021-08-07 00:30:00,86.06595
34.21,2021-08-07 01:00:00,84.81146
34.36,2021-08-07 01:30:00,84.81146
29.18,2021-08-07 02:00:00,82.509155
29.07,2021-08-07 02:30:00,82.509155
